Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","21116","Meat of goat, fresh or chilled","2024","2024","An","295","A","Official figure",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","21113.01","Meat of pig with the bone, fresh or chilled","2024","2024","An","1001","A","Official figure",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","21115","Meat of sheep, fresh or chilled","2024","2024","An","288","A","Official figure",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","02951.01","Raw hides and skins of cattle","2024","2024","An","461","A","Official figure",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","02954","Raw hides and skins of goats or kids","2024","2024","An","295","A","Official figure",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","02953","Raw hides and skins of sheep or lambs","2024","2024","An","288","A","Official figure",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5318","Milk Animals","02211","Raw milk of cattle","2024","2024","An","3240","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02122","Sheep","2024","2024","An","4473","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5320","Producing Animals/Slaughtered","21514","Sheep fat, unrendered","2024","2024","An","288","A","Official figure",""
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02140","Swine / pigs","2024","2024","An","4984","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02132","Asses","2024","2024","An","62269","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5114","Stocks","02196","Bees","2024","2024","No","2986469","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02111","Cattle","2024","2024","An","52783892","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5320","Producing Animals/Slaughtered","21512","Cattle fat, unrendered","2024","2024","An","13931760","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5112","Stocks","02151","Chickens","2024","2024","1000 An","114329","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","032","Argentina","5112","Stocks","02154","Ducks","2024","2024","1000 An","2660","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","032","Argentina","5320","Producing Animals/Slaughtered","21151","Edible offal of cattle, fresh, chilled or frozen","2024","2024","An","13931760","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5320","Producing Animals/Slaughtered","21156","Edible offal of goat, fresh, chilled or frozen","2024","2024","An","1048819","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","032","Argentina","5320","Producing Animals/Slaughtered","21153","Edible offal of pigs, fresh, chilled or frozen","2024","2024","An","8311256","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5320","Producing Animals/Slaughtered","21155","Edible offal of sheep, fresh, chilled or frozen","2024","2024","An","2167741","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5320","Producing Animals/Slaughtered","21159.01","Edible offals of horses and other equines, fresh, chilled or frozen","2024","2024","An","98036","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5320","Producing Animals/Slaughtered","21511.01","Fat of pigs","2024","2024","An","8311256","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5112","Stocks","02153","Geese","2024","2024","1000 An","175","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5320","Producing Animals/Slaughtered","21515","Goat fat, unrendered","2024","2024","An","1048819","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02123","Goats","2024","2024","An","4121846","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5313","Laying","0231","Hen eggs in shell, fresh","2024","2024","1000 An","57700","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","032","Argentina","5320","Producing Animals/Slaughtered","21118.01","Horse meat, fresh or chilled","2024","2024","An","98036","A","Official figure",""
